"","county_desc","precinct_abbrv","vtd_abbrv","party_cd","race_code","ethnic_code","sex_code","age","actual_voters","total_voters","non_voters"
"75","ALAMANCE","035","035","DEM","B","HL","F","Age 18 - 25",1,2,1
"94","ALAMANCE","06N","06N","DEM","B","HL","F","Age 18 - 25",1,1,0
"95","ALAMANCE","06S","06S","DEM","B","HL","F","Age 18 - 25",1,1,0
"107","ALAMANCE","09S","09S","DEM","B","HL","F","Age 18 - 25",1,1,0
"112","ROBESON","11","11","DEM","B","HL","F","Age 18 - 25",1,1,0
"126","ALAMANCE","125","125","DEM","B","HL","F","Age 18 - 25",1,1,0
"128","ALAMANCE","12N","12N","DEM","B","HL","F","Age 18 - 25",1,1,0
"176","CATAWBA","25","25","DEM","B","HL","F","Age 18 - 25",1,1,0
"192","GATES","4S","4S","DEM","B","HL","F","Age 18 - 25",1,1,0
"204","LINCOLN","BC13","BC13","DEM","B","HL","F","Age 18 - 25",1,1,0
"220","ROCKINGHAM","ED-1","ED-1","DEM","B","HL","F","Age 18 - 25",1,3,2
"221","ONSLOW","EN03","EN03","DEM","B","HL","F","Age 18 - 25",3,4,1
"268","VANCE","NH1","NH1","DEM","B","HL","F","Age 18 - 25",1,1,0
"271","BLADEN","P502","P502","DEM","B","HL","F","Age 18 - 25",1,1,0
"277","WILSON","PRWN","PRWN","DEM","B","HL","F","Age 18 - 25",1,1,0
"281","VANCE","SH2","SH2","DEM","B","HL","F","Age 18 - 25",1,1,0
"286","ONSLOW","TL06","TL06","DEM","B","HL","F","Age 18 - 25",2,2,0
"292","DUPLIN","WARS","WARS","DEM","B","HL","F","Age 18 - 25",1,1,0
"334","CATAWBA","13","13","UNA","B","HL","F","Age 18 - 25",1,1,0
"390","NORTHAMPTON","GASTON","GASTON","UNA","B","HL","F","Age 18 - 25",1,1,0
"392","ONSLOW","HM05","HM05","UNA","B","HL","F","Age 18 - 25",1,1,0
"399","BLADEN","P15","P15","UNA","B","HL","F","Age 18 - 25",1,1,0
"400","BLADEN","P202","P202","UNA","B","HL","F","Age 18 - 25",1,1,0
"406","WILSON","PRWQ","PRWQ","UNA","B","HL","F","Age 18 - 25",1,1,0
"407","WILSON","PRWR","PRWR","UNA","B","HL","F","Age 18 - 25",1,1,0
"408","NORTHAMPTON","RICH S","RICH-S","UNA","B","HL","F","Age 18 - 25",1,1,0
"413","DUPLIN","WALL","WALL","UNA","B","HL","F","Age 18 - 25",1,1,0
"414","VANCE","CC","WATK","UNA","B","HL","F","Age 18 - 25",1,1,0
"423","ALAMANCE","12E","12E","DEM","I","HL","F","Age 18 - 25",1,1,0
"424","ALAMANCE","13","13","DEM","I","HL","F","Age 18 - 25",1,1,0
"427","ROBESON","28","28","DEM","I","HL","F","Age 18 - 25",1,1,0
"442","BURKE","0031","0031","UNA","I","HL","F","Age 18 - 25",1,1,0
"453","ROBESON","21","21","UNA","I","HL","F","Age 18 - 25",1,1,0
"471","GRAHAM","WEST","WEST","UNA","I","HL","F","Age 18 - 25",1,1,0
"476","BURKE","0038","0038","DEM","M","HL","F","Age 18 - 25",1,1,0
"477","BURKE","0048","0048","DEM","M","HL","F","Age 18 - 25",1,1,0
"524","ALAMANCE","03N","03N","DEM","M","HL","F","Age 18 - 25",1,1,0
"548","CATAWBA","07","07","DEM","M","HL","F","Age 18 - 25",2,2,0
"566","ALAMANCE","08S","08S","DEM","M","HL","F","Age 18 - 25",1,1,0
"569","ROBESON","09","09","DEM","M","HL","F","Age 18 - 25",2,2,0
"584","ALAMANCE","10S","10S","DEM","M","HL","F","Age 18 - 25",2,2,0
"597","ALAMANCE","1210","1210","DEM","M","HL","F","Age 18 - 25",1,1,0
"603","ALAMANCE","12N","12N","DEM","M","HL","F","Age 18 - 25",1,1,0
"604","ROBESON","13","13","DEM","M","HL","F","Age 18 - 25",1,1,0
"688","CHATHAM","30","30","DEM","M","HL","F","Age 18 - 25",1,1,0
"689","ROBESON","30","30","DEM","M","HL","F","Age 18 - 25",1,2,1
"695","CATAWBA","33","33","DEM","M","HL","F","Age 18 - 25",1,1,0
"705","CATAWBA","40","40","DEM","M","HL","F","Age 18 - 25",1,1,0
"742","CHATHAM","85","85","DEM","M","HL","F","Age 18 - 25",1,1,0
"753","DUPLIN","BEUL","BEUL","DEM","M","HL","F","Age 18 - 25",1,1,0
"777","ROCKINGHAM","DR","DR","DEM","M","HL","F","Age 18 - 25",1,1,0
"783","VANCE","NV","EH2","DEM","M","HL","F","Age 18 - 25",1,1,0
"784","ONSLOW","EN03","EN03","DEM","M","HL","F","Age 18 - 25",2,5,3
"829","NORTHAMPTON","GASTON","GASTON","DEM","M","HL","F","Age 18 - 25",1,1,0
"842","ROCKINGHAM","HO","HO","DEM","M","HL","F","Age 18 - 25",2,2,0
"848","VANCE","KITT","KITT","DEM","M","HL","F","Age 18 - 25",1,1,0
"851","LINCOLN","LI14","LI14","DEM","M","HL","F","Age 18 - 25",1,1,0
"867","ONSLOW","NE22B","NE22","DEM","M","HL","F","Age 18 - 25",1,2,1
"873","CHATHAM","PIT113","PIT113","DEM","M","HL","F","Age 18 - 25",1,1,0
"890","WILSON","PRWE","PRWE","DEM","M","HL","F","Age 18 - 25",2,2,0
"891","WILSON","PRWI","PRWI","DEM","M","HL","F","Age 18 - 25",1,1,0
"892","WILSON","PRWR","PRWR","DEM","M","HL","F","Age 18 - 25",1,1,0
"899","VANCE","SH1","SH1","DEM","M","HL","F","Age 18 - 25",1,2,1
"900","VANCE","SH2","SH2","DEM","M","HL","F","Age 18 - 25",1,1,0
"910","ROCKINGHAM","MS","VA","DEM","M","HL","F","Age 18 - 25",1,2,1
"914","DUPLIN","WARS","WARS","DEM","M","HL","F","Age 18 - 25",1,1,0
"917","ROCKINGHAM","SE","WM","DEM","M","HL","F","Age 18 - 25",1,1,0
"918","VANCE","NH","WMSB","DEM","M","HL","F","Age 18 - 25",1,1,0
"924","ALAMANCE","125","125","LIB","M","HL","F","Age 18 - 25",1,1,0
"925","ALAMANCE","12N","12N","LIB","M","HL","F","Age 18 - 25",1,1,0
"926","ROBESON","13","13","LIB","M","HL","F","Age 18 - 25",1,1,0
"934","CHATHAM","85","85","LIB","M","HL","F","Age 18 - 25",1,1,0
"943","BURKE","0011","0011","REP","M","HL","F","Age 18 - 25",1,1,0
"945","BURKE","0039","0039","REP","M","HL","F","Age 18 - 25",1,1,0
"975","ALAMANCE","125","125","REP","M","HL","F","Age 18 - 25",1,1,0
"976","ALAMANCE","127","127","REP","M","HL","F","Age 18 - 25",1,1,0
"982","CATAWBA","15","15","REP","M","HL","F","Age 18 - 25",1,1,0
"993","CATAWBA","20","20","REP","M","HL","F","Age 18 - 25",1,1,0
"1002","ROBESON","22","22","REP","M","HL","F","Age 18 - 25",1,1,0
"1004","CATAWBA","38","38","REP","M","HL","F","Age 18 - 25",1,1,0
"1009","CHATHAM","85","85","REP","M","HL","F","Age 18 - 25",2,2,0
"1021","ONSLOW","CR07","CR07","REP","M","HL","F","Age 18 - 25",1,1,0
"1026","DUPLIN","FAIS","FAIS","REP","M","HL","F","Age 18 - 25",1,1,0
"1046","ONSLOW","NE22B","NE22","REP","M","HL","F","Age 18 - 25",1,1,0
"1060","ONSLOW","TL06","TL06","REP","M","HL","F","Age 18 - 25",1,1,0
"1066","ONSLOW","WN04","WN04","REP","M","HL","F","Age 18 - 25",1,1,0
"1067","LINCOLN","WP32","WP32","REP","M","HL","F","Age 18 - 25",1,1,0
"1069","BURKE","0011","0011","UNA","M","HL","F","Age 18 - 25",2,2,0
"1075","BURKE","0051","0051","UNA","M","HL","F","Age 18 - 25",1,1,0
"1109","ALAMANCE","04","04","UNA","M","HL","F","Age 18 - 25",1,1,0
"1110","ROBESON","04","04","UNA","M","HL","F","Age 18 - 25",1,1,0
"1126","ROBESON","05A","05","UNA","M","HL","F","Age 18 - 25",2,2,0
"1136","ALAMANCE","064","064","UNA","M","HL","F","Age 18 - 25",1,1,0
"1138","ALAMANCE","06S","06S","UNA","M","HL","F","Age 18 - 25",1,1,0
"1139","CATAWBA","07","07","UNA","M","HL","F","Age 18 - 25",1,1,0
"1164","ALAMANCE","10S","10S","UNA","M","HL","F","Age 18 - 25",2,3,1
"1165","ALAMANCE","11","11","UNA","M","HL","F","Age 18 - 25",1,1,0
"1174","ALAMANCE","125","125","UNA","M","HL","F","Age 18 - 25",1,1,0
"1176","ALAMANCE","127","127","UNA","M","HL","F","Age 18 - 25",1,1,0
"1178","ALAMANCE","12N","12N","UNA","M","HL","F","Age 18 - 25",3,3,0
"1232","ROBESON","22","22","UNA","M","HL","F","Age 18 - 25",2,2,0
"1244","CATAWBA","25","25","UNA","M","HL","F","Age 18 - 25",1,1,0
"1245","ROBESON","25","25","UNA","M","HL","F","Age 18 - 25",1,1,0
"1247","ROBESON","29","29","UNA","M","HL","F","Age 18 - 25",1,1,0
"1254","CATAWBA","33","33","UNA","M","HL","F","Age 18 - 25",1,2,1
"1256","CATAWBA","34","34","UNA","M","HL","F","Age 18 - 25",1,1,0
"1260","CATAWBA","37","37","UNA","M","HL","F","Age 18 - 25",2,3,1
"1285","CHATHAM","75","75","UNA","M","HL","F","Age 18 - 25",1,1,0
"1297","LINCOLN","BC13","BC13","UNA","M","HL","F","Age 18 - 25",1,2,1
"1302","ONSLOW","BM08","BM08","UNA","M","HL","F","Age 18 - 25",1,5,4
"1321","LINCOLN","CF19","CF19","UNA","M","HL","F","Age 18 - 25",1,1,0
"1340","CHATHAM","ESC114","ESC114","UNA","M","HL","F","Age 18 - 25",2,2,0
"1378","DUPLIN","GLIS","GLIS","UNA","M","HL","F","Age 18 - 25",1,1,0
"1389","ONSLOW","HM05","HM05","UNA","M","HL","F","Age 18 - 25",1,3,2
"1391","ONSLOW","HU20","HU20","UNA","M","HL","F","Age 18 - 25",1,1,0
"1393","ONSLOW","JA01","JA01","UNA","M","HL","F","Age 18 - 25",4,4,0
"1396","VANCE","KITT","KITT","UNA","M","HL","F","Age 18 - 25",2,3,1
"1400","LINCOLN","LW18","LW18","UNA","M","HL","F","Age 18 - 25",1,1,0
"1407","ONSLOW","NE22B","NE22","UNA","M","HL","F","Age 18 - 25",1,3,2
"1415","BLADEN","P80","P80","UNA","M","HL","F","Age 18 - 25",1,1,0
"1417","CASWELL","PELH","PELH","UNA","M","HL","F","Age 18 - 25",1,1,0
"1434","WILSON","PROL","PROL","UNA","M","HL","F","Age 18 - 25",1,1,0
"1435","CASWELL","PH","PROS","UNA","M","HL","F","Age 18 - 25",1,1,0
"1436","WILSON","PRTA","PRTA","UNA","M","HL","F","Age 18 - 25",1,1,0
"1437","ROCKINGHAM","RC","RC","UNA","M","HL","F","Age 18 - 25",1,1,0
"1444","VANCE","SH1","SH1","UNA","M","HL","F","Age 18 - 25",1,2,1
"1453","ONSLOW","SW19","SW19","UNA","M","HL","F","Age 18 - 25",1,1,0
"1466","BURKE","0001","0001","DEM","O","HL","F","Age 18 - 25",1,1,0
"1479","BURKE","0019","0019","DEM","O","HL","F","Age 18 - 25",1,1,0
"1486","BURKE","0031","0031","DEM","O","HL","F","Age 18 - 25",2,3,1
"1487","BURKE","0034","0034","DEM","O","HL","F","Age 18 - 25",1,2,1
"1488","BURKE","0035","0035","DEM","O","HL","F","Age 18 - 25",2,4,2
"1489","BURKE","0036","0036","DEM","O","HL","F","Age 18 - 25",1,2,1
"1490","BURKE","0038","0038","DEM","O","HL","F","Age 18 - 25",5,7,2
"1496","BURKE","0047-A","0047","DEM","O","HL","F","Age 18 - 25",1,2,1
"1497","BURKE","0048","0048","DEM","O","HL","F","Age 18 - 25",2,2,0
"1507","ALAMANCE","01","01","DEM","O","HL","F","Age 18 - 25",1,1,0
"1509","CATAWBA","01","01","DEM","O","HL","F","Age 18 - 25",1,1,0
"1602","CATAWBA","03","03","DEM","O","HL","F","Age 18 - 25",1,1,0
"1623","ALAMANCE","035","035","DEM","O","HL","F","Age 18 - 25",1,1,0
"1668","CATAWBA","05","05","DEM","O","HL","F","Age 18 - 25",1,1,0
"1676","ROBESON","05A","05","DEM","O","HL","F","Age 18 - 25",1,1,0
"1706","ALAMANCE","063","063","DEM","O","HL","F","Age 18 - 25",4,10,6
"1709","ALAMANCE","064","064","DEM","O","HL","F","Age 18 - 25",5,6,1
"1720","ALAMANCE","06E","06E","DEM","O","HL","F","Age 18 - 25",3,4,1
"1721","ALAMANCE","06N","06N","DEM","O","HL","F","Age 18 - 25",7,9,2
"1722","ALAMANCE","06S","06S","DEM","O","HL","F","Age 18 - 25",2,2,0
"1723","ALAMANCE","06W","06W","DEM","O","HL","F","Age 18 - 25",5,6,1
"1724","ALAMANCE","07","07","DEM","O","HL","F","Age 18 - 25",1,1,0
"1725","CATAWBA","07","07","DEM","O","HL","F","Age 18 - 25",3,5,2
"1729","ROBESON","07","07","DEM","O","HL","F","Age 18 - 25",1,1,0
"1738","YANCEY","07 BRU","07-BRU","DEM","O","HL","F","Age 18 - 25",1,1,0
"1772","ALAMANCE","08N","08N","DEM","O","HL","F","Age 18 - 25",3,3,0
"1773","CATAWBA","09","09","DEM","O","HL","F","Age 18 - 25",1,1,0
"1778","ROBESON","09","09","DEM","O","HL","F","Age 18 - 25",1,3,2
"1793","ALAMANCE","09S","09S","DEM","O","HL","F","Age 18 - 25",2,2,0
"1797","ROBESON","10","10","DEM","O","HL","F","Age 18 - 25",1,1,0
"1815","ALAMANCE","103","103","DEM","O","HL","F","Age 18 - 25",1,2,1
"1830","ALAMANCE","10S","10S","DEM","O","HL","F","Age 18 - 25",2,7,5
"1831","CATAWBA","11","11","DEM","O","HL","F","Age 18 - 25",1,2,1
"1836","ROBESON","11A","11","DEM","O","HL","F","Age 18 - 25",4,4,0
"1856","ROBESON","12","12","DEM","O","HL","F","Age 18 - 25",1,2,1
"1884","ALAMANCE","1210","1210","DEM","O","HL","F","Age 18 - 25",3,3,0
"1888","ALAMANCE","124","124","DEM","O","HL","F","Age 18 - 25",2,2,0
"1891","ALAMANCE","126","126","DEM","O","HL","F","Age 18 - 25",1,1,0
"1893","ALAMANCE","127","127","DEM","O","HL","F","Age 18 - 25",5,7,2
"1895","ALAMANCE","128","128","DEM","O","HL","F","Age 18 - 25",2,3,1
"1899","ALAMANCE","12E","12E","DEM","O","HL","F","Age 18 - 25",7,7,0
"1900","ALAMANCE","12N","12N","DEM","O","HL","F","Age 18 - 25",8,9,1
"1901","ALAMANCE","12S","12S","DEM","O","HL","F","Age 18 - 25",3,3,0
"1902","ALAMANCE","13","13","DEM","O","HL","F","Age 18 - 25",4,8,4
"1907","ROBESON","13","13","DEM","O","HL","F","Age 18 - 25",1,2,1
"1925","CATAWBA","14","14","DEM","O","HL","F","Age 18 - 25",1,1,0
"1969","CATAWBA","16","16","DEM","O","HL","F","Age 18 - 25",6,6,0
"1982","CATAWBA","17","17","DEM","O","HL","F","Age 18 - 25",4,6,2
"1999","CHATHAM","18","18","DEM","O","HL","F","Age 18 - 25",1,2,1
"2022","CATAWBA","20","20","DEM","O","HL","F","Age 18 - 25",1,2,1
"2060","ROBESON","22","22","DEM","O","HL","F","Age 18 - 25",7,11,4
"2072","ROBESON","23","23","DEM","O","HL","F","Age 18 - 25",1,1,0
"2084","CATAWBA","24","24","DEM","O","HL","F","Age 18 - 25",1,2,1
"2086","ROBESON","24","24","DEM","O","HL","F","Age 18 - 25",2,5,3
"2090","CATAWBA","25","25","DEM","O","HL","F","Age 18 - 25",3,5,2
"2092","ROBESON","25","25","DEM","O","HL","F","Age 18 - 25",1,1,0
"2101","ROBESON","26A","27","DEM","O","HL","F","Age 18 - 25",1,4,3
"2102","CATAWBA","27","27","DEM","O","HL","F","Age 18 - 25",1,1,0
"2106","CATAWBA","28","28","DEM","O","HL","F","Age 18 - 25",5,7,2
"2109","ROBESON","28","28","DEM","O","HL","F","Age 18 - 25",1,3,2
"2114","CATAWBA","29","29","DEM","O","HL","F","Age 18 - 25",2,5,3
"2120","CHATHAM","3","3","DEM","O","HL","F","Age 18 - 25",2,2,0
"2121","CATAWBA","30","30","DEM","O","HL","F","Age 18 - 25",5,5,0
"2134","ROBESON","32A","31","DEM","O","HL","F","Age 18 - 25",1,4,3
"2136","CATAWBA","32","32","DEM","O","HL","F","Age 18 - 25",1,2,1
"2141","CATAWBA","33","33","DEM","O","HL","F","Age 18 - 25",5,9,4
"2142","ROBESON","33","33","DEM","O","HL","F","Age 18 - 25",3,4,1
"2144","CATAWBA","34","34","DEM","O","HL","F","Age 18 - 25",1,2,1
"2149","CATAWBA","35","35","DEM","O","HL","F","Age 18 - 25",3,4,1
"2151","CATAWBA","36","36","DEM","O","HL","F","Age 18 - 25",1,1,0
"2155","CATAWBA","37","37","DEM","O","HL","F","Age 18 - 25",3,3,0
"2228","CHATHAM","75","75","DEM","O","HL","F","Age 18 - 25",1,2,1
"2234","CHATHAM","85","85","DEM","O","HL","F","Age 18 - 25",10,12,2
"2246","DUPLIN","ALBE","ALBE","DEM","O","HL","F","Age 18 - 25",5,12,7
"2248","LINCOLN","AS25","AS25","DEM","O","HL","F","Age 18 - 25",1,2,1
"2252","ROCKINGHAM","WS","AV","DEM","O","HL","F","Age 18 - 25",1,1,0
"2255","LINCOLN","BC13","BC13","DEM","O","HL","F","Age 18 - 25",1,6,5
"2256","ONSLOW","BC21","BC21","DEM","O","HL","F","Age 18 - 25",3,5,2
"2260","DUPLIN","BEUL","BEUL","DEM","O","HL","F","Age 18 - 25",1,1,0
"2267","DUPLIN","CALY","CALY","DEM","O","HL","F","Age 18 - 25",1,1,0
"2296","DUPLIN","CHAR","CHAR","DEM","O","HL","F","Age 18 - 25",1,1,0
"2306","ROCKINGHAM","MS","CO","DEM","O","HL","F","Age 18 - 25",1,1,0
"2316","VANCE","CC","DABN","DEM","O","HL","F","Age 18 - 25",2,2,0
"2319","LINCOLN","DV08","DV08","DEM","O","HL","F","Age 18 - 25",1,1,0
"2324","ROCKINGHAM","ED-1","ED-1","DEM","O","HL","F","Age 18 - 25",3,3,0
"2328","VANCE","EH1","EH1","DEM","O","HL","F","Age 18 - 25",2,4,2
"2330","ONSLOW","EN03","EN03","DEM","O","HL","F","Age 18 - 25",8,26,18
"2333","CHATHAM","ESC114","ESC114","DEM","O","HL","F","Age 18 - 25",14,18,4
"2334","DUPLIN","FAIS","FAIS","DEM","O","HL","F","Age 18 - 25",7,8,1
"2432","DUPLIN","HALL","HALL","DEM","O","HL","F","Age 18 - 25",1,2,1
"2437","ONSLOW","HN14","HN14","DEM","O","HL","F","Age 18 - 25",2,2,0
"2444","VANCE","HTOP","HTOP","DEM","O","HL","F","Age 18 - 25",1,1,0
"2445","ROCKINGHAM","HU","HU","DEM","O","HL","F","Age 18 - 25",2,2,0
"2446","ONSLOW","HU20","HU20","DEM","O","HL","F","Age 18 - 25",1,1,0
"2451","ONSLOW","JA01","JA01","DEM","O","HL","F","Age 18 - 25",1,13,12
"2458","DUPLIN","KENA","KENA","DEM","O","HL","F","Age 18 - 25",3,6,3
"2467","ROCKINGHAM","LK-2","LK-2","DEM","O","HL","F","Age 18 - 25",3,4,1
"2468","LINCOLN","LB34","LM16","DEM","O","HL","F","Age 18 - 25",1,1,0
"2470","LINCOLN","LS12","LS12","DEM","O","HL","F","Age 18 - 25",4,4,0
"2478","ROCKINGHAM","MA","MA","DEM","O","HL","F","Age 18 - 25",4,6,2
"2479","DUPLIN","MAGN","MAGN","DEM","O","HL","F","Age 18 - 25",6,7,1
"2486","ROCKINGHAM","MC","MC","DEM","O","HL","F","Age 18 - 25",5,6,1
"2487","CHATHAM","MCH110","MCH110","DEM","O","HL","F","Age 18 - 25",3,4,1
"2488","ROCKINGHAM","WS","MD","DEM","O","HL","F","Age 18 - 25",1,3,2
"2491","VANCE","MIDD","MIDD","DEM","O","HL","F","Age 18 - 25",1,1,0
"2507","ONSLOW","NE22A","NE22","DEM","O","HL","F","Age 18 - 25",2,4,2
"2508","NORTHAMPTON","NEWTOW","NEWTOW","DEM","O","HL","F","Age 18 - 25",1,1,0
"2510","VANCE","NH1","NH1","DEM","O","HL","F","Age 18 - 25",1,1,0
"2517","CHATHAM","NWM117","NWM117","DEM","O","HL","F","Age 18 - 25",2,3,1
"2523","JONES","P01","P01","DEM","O","HL","F","Age 18 - 25",1,1,0
"2525","JONES","P02","P02","DEM","O","HL","F","Age 18 - 25",1,1,0
"2530","BLADEN","P15","P15","DEM","O","HL","F","Age 18 - 25",1,2,1
"2533","BLADEN","P35","P35","DEM","O","HL","F","Age 18 - 25",1,1,0
"2534","BLADEN","P40","P40","DEM","O","HL","F","Age 18 - 25",1,1,0
"2535","BLADEN","P45","P45","DEM","O","HL","F","Age 18 - 25",1,2,1
"2536","BLADEN","P502","P502","DEM","O","HL","F","Age 18 - 25",4,5,1
"2537","BLADEN","P60","P60","DEM","O","HL","F","Age 18 - 25",1,2,1
"2538","BLADEN","P75","P75","DEM","O","HL","F","Age 18 - 25",1,1,0
"2541","LINCOLN","PC22","PC22","DEM","O","HL","F","Age 18 - 25",2,2,0
"2546","CHATHAM","PIT113","PIT113","DEM","O","HL","F","Age 18 - 25",5,7,2
"2602","WILSON","PRBL","PRBL","DEM","O","HL","F","Age 18 - 25",3,4,1
"2603","WILSON","PRGA","PRGA","DEM","O","HL","F","Age 18 - 25",2,8,6
"2604","WILSON","PROL","PROL","DEM","O","HL","F","Age 18 - 25",4,4,0
"2606","WILSON","PRST","PRST","DEM","O","HL","F","Age 18 - 25",1,1,0
"2607","WILSON","PRTA","PRTA","DEM","O","HL","F","Age 18 - 25",2,4,2
"2608","WILSON","PRTO","PRTO","DEM","O","HL","F","Age 18 - 25",1,3,2
"2609","WILSON","PRWA","PRWA","DEM","O","HL","F","Age 18 - 25",2,4,2
"2610","WILSON","PRWB","PRWB","DEM","O","HL","F","Age 18 - 25",1,1,0
"2611","WILSON","PRWC","PRWC","DEM","O","HL","F","Age 18 - 25",2,2,0
"2612","WILSON","PRWD","PRWD","DEM","O","HL","F","Age 18 - 25",1,1,0
"2613","WILSON","PRWH","PRWH","DEM","O","HL","F","Age 18 - 25",1,1,0
"2614","WILSON","PRWI","PRWI","DEM","O","HL","F","Age 18 - 25",2,2,0
"2615","WILSON","PRWL","PRWL","DEM","O","HL","F","Age 18 - 25",2,3,1
"2616","WILSON","PRWN","PRWN","DEM","O","HL","F","Age 18 - 25",3,4,1
"2617","WILSON","PRWR","PRWR","DEM","O","HL","F","Age 18 - 25",2,4,2
"2622","ROCKINGHAM","RC","RC","DEM","O","HL","F","Age 18 - 25",1,1,0
"2625","ONSLOW","RL09","RL09","DEM","O","HL","F","Age 18 - 25",1,5,4
"2627","DUPLIN","ROSE","ROSE","DEM","O","HL","F","Age 18 - 25",2,6,4
"2636","VANCE","SCRK","SCRK","DEM","O","HL","F","Age 18 - 25",2,3,1
"2638","ONSLOW","SF18","SF18","DEM","O","HL","F","Age 18 - 25",1,4,3
"2642","VANCE","SH1","SH1","DEM","O","HL","F","Age 18 - 25",3,4,1
"2643","VANCE","SH2","SH2","DEM","O","HL","F","Age 18 - 25",2,4,2
"2646","LINCOLN","SL24","SL24","DEM","O","HL","F","Age 18 - 25",2,3,1
"2658","CASWELL","STON","STON","DEM","O","HL","F","Age 18 - 25",1,1,0
"2663","ONSLOW","SW19","SW19","DEM","O","HL","F","Age 18 - 25",1,1,0
"2673","ONSLOW","TL06","TL06","DEM","O","HL","F","Age 18 - 25",1,2,1
"2678","ROCKINGHAM","MS","VA","DEM","O","HL","F","Age 18 - 25",2,3,1
"2679","ONSLOW","VR15","VR15","DEM","O","HL","F","Age 18 - 25",1,3,2
"2696","DUPLIN","WALL","WALL","DEM","O","HL","F","Age 18 - 25",1,1,0
"2697","DUPLIN","WARS","WARS","DEM","O","HL","F","Age 18 - 25",4,8,4
"2704","SWAIN","WHCH","WHCH","DEM","O","HL","F","Age 18 - 25",1,2,1
"2705","ONSLOW","WN04","WN04","DEM","O","HL","F","Age 18 - 25",2,8,6
"2707","DUPLIN","WOLF","WOLF","DEM","O","HL","F","Age 18 - 25",3,13,10
"2709","CASWELL","YANC","YAN4","DEM","O","HL","F","Age 18 - 25",1,1,0
"2710","BURKE","0013","0013","LIB","O","HL","F","Age 18 - 25",1,1,0
"2729","ALAMANCE","06W","06W","LIB","O","HL","F","Age 18 - 25",1,1,0
"2739","ALAMANCE","127","127","LIB","O","HL","F","Age 18 - 25",1,1,0
"2764","CHATHAM","9","9","LIB","O","HL","F","Age 18 - 25",1,1,0
"2768","CHATHAM","ESC114","ESC114","LIB","O","HL","F","Age 18 - 25",1,1,0
"2773","LINCOLN","PC22","PC22","LIB","O","HL","F","Age 18 - 25",1,1,0
"2780","WILSON","PRWJ","PRWJ","LIB","O","HL","F","Age 18 - 25",1,1,0
"2783","VANCE","SH1","SH1","LIB","O","HL","F","Age 18 - 25",1,1,0
"2794","BURKE","0022","0022","REP","O","HL","F","Age 18 - 25",1,1,0
"2796","BURKE","0029-A","0029","REP","O","HL","F","Age 18 - 25",1,1,0
"2797","BURKE","0031","0031","REP","O","HL","F","Age 18 - 25",1,1,0
"2822","CATAWBA","03","03","REP","O","HL","F","Age 18 - 25",1,1,0
"2831","ALAMANCE","03S","03S","REP","O","HL","F","Age 18 - 25",2,2,0
"2840","ALAMANCE","05","05","REP","O","HL","F","Age 18 - 25",1,1,0
"2853","ALAMANCE","063","063","REP","O","HL","F","Age 18 - 25",1,1,0
"2855","ALAMANCE","06S","06S","REP","O","HL","F","Age 18 - 25",1,1,0
"2896","ALAMANCE","12N","12N","REP","O","HL","F","Age 18 - 25",2,2,0
"2905","ROBESON","14","14","REP","O","HL","F","Age 18 - 25",1,1,0
"2950","CATAWBA","22","22","REP","O","HL","F","Age 18 - 25",1,2,1
"2961","ROBESON","26A","26","REP","O","HL","F","Age 18 - 25",2,3,1
"2963","CATAWBA","28","28","REP","O","HL","F","Age 18 - 25",1,3,2
"2970","CATAWBA","31","31","REP","O","HL","F","Age 18 - 25",1,2,1
"2978","CATAWBA","38","38","REP","O","HL","F","Age 18 - 25",1,1,0
"2995","CHATHAM","85","85","REP","O","HL","F","Age 18 - 25",1,2,1
"3002","DUPLIN","ALBE","ALBE","REP","O","HL","F","Age 18 - 25",2,3,1
"3008","DUPLIN","CALY","CALY","REP","O","HL","F","Age 18 - 25",1,1,0
"3022","DUPLIN","CHIN","CHIN","REP","O","HL","F","Age 18 - 25",1,1,0
"3035","ONSLOW","EN03","EN03","REP","O","HL","F","Age 18 - 25",2,12,10
"3037","DUPLIN","FAIS","FAIS","REP","O","HL","F","Age 18 - 25",1,1,0
"3058","ONSLOW","GB12","GB12","REP","O","HL","F","Age 18 - 25",2,2,0
"3068","ONSLOW","HM05","HM05","REP","O","HL","F","Age 18 - 25",1,2,1
"3069","ROCKINGHAM","HU","HU","REP","O","HL","F","Age 18 - 25",2,3,1
"3073","ONSLOW","JA01","JA01","REP","O","HL","F","Age 18 - 25",1,9,8
"3077","LINCOLN","LI14","LI14","REP","O","HL","F","Age 18 - 25",1,1,0
"3078","CASWELL","LOCU","LOCU","REP","O","HL","F","Age 18 - 25",1,1,0
"3080","CHEROKEE","MARB","MARB","REP","O","HL","F","Age 18 - 25",1,1,0
"3086","ONSLOW","NE22A","NE22","REP","O","HL","F","Age 18 - 25",1,4,3
"3087","ONSLOW","NE22B","NE22","REP","O","HL","F","Age 18 - 25",3,3,0
"3089","LINCOLN","OB21","OB21","REP","O","HL","F","Age 18 - 25",1,1,0
"3090","LINCOLN","ST36","OG10","REP","O","HL","F","Age 18 - 25",1,1,0
"3091","BLADEN","P15","P15","REP","O","HL","F","Age 18 - 25",1,1,0
"3093","CASWELL","PELH","PELH","REP","O","HL","F","Age 18 - 25",1,1,0
"3112","WILSON","PROL","PROL","REP","O","HL","F","Age 18 - 25",1,1,0
